Category,Vendor,Item Number,Item Description,Quantity Per Package,Cost Per Package,Number of Packages,Item Total Cost,Part Link,"Symbol, Layout, & 3D Model Link",Comments,Designation on Mouse 7.0 Test,Designation on Mouse 7.0 PCB
,Digikey,445-4952-1-ND,CAP CER 0.1UF 16V X7R 0402,1,$0.10,1,$0.10,https://www.digikey.com/en/products/detail/tdk-corporation/C1005X7R1C104K050BC/2093220,n/a,- 0.1uF cap for voltage reference output,new (dupe),
,Digikey,SG73P1JTTD104J,RES 100K OHM 5% 1/3W 0603,1,$0.11,2,$0.22,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/SG73P1JTTD104J/10190103,n/a,- 100k 0603 pullup for mouse on/off rocker switch and mouse on/off AND_NODE inverting NMOS,new,
,Digikey,RCS0402100KFKED,RES 100K OHM 1% 1/3W 0402,1,$0.12,4,$0.48,https://www.digikey.com/en/products/detail/vishay-dale/RCS0402100KFKED/5867045,n/a,- 100k 0402 Vout pullup and voltage divider R2 for battery voltage comparators,new,
,DIgikey,RCS04022M20FKED,RES 2.2M OHM 1% 1/3W 0402,1,$0.13,2,$0.26,https://www.digikey.com/en/products/detail/vishay-dale/RCS04022M20FKED/12446349,n/a,- 2.2M Ohm 0402 feedback resistor for each comparator,new,
,Digikey,541-10.0KLCT-ND,RES SMD 10K OHM 1% 1/16W 0402,1,$0.10,2,$0.20,https://www.digikey.com/en/products/detail/vishay-dale/CRCW040210K0FKED/1178121,n/a,- 10k Ohm 0402 resistor for battery comparator warning and failure indicator LEDs,new (dupe),
,Digikey,RCS0402180KFKED,RES 180K OHM 1% 1/3W 0402,1,$0.13,1,$0.13,https://www.digikey.com/en/products/detail/vishay-dale/RCS0402180KFKED/5867941,n/a,- 180k Ohm 0402 resistor for warning battery comparator voltage divider R1,new,
,Digikey,ERJ-PA2F1603X,RES 160K OHM 1% 1/5W 0402,1,$0.21,1,$0.21,https://www.digikey.com/en/products/detail/panasonic-industry/ERJ-PA2F1603X/9814976,n/a,- 160k Ohm 0402 resistor for failure battery comparator voltage divider R1,new,
,Digikey,2N7002-7-F,MOSFET N-CH 60V 115MA SOT23-3,1,$0.20,1,$0.20,https://www.digikey.com/en/products/detail/diodes-incorporated/2N7002-7-F/717681?utm_source=chatgpt.com,https://app.ultralibrarian.com/details/465b5e17-1794-11ed-b159-0a34d6323d74/Diodes-Inc/2N7002AQ-7?open=exports&exports=21&exports=39,- 2N7002 NMOS to invert the open-drain AND_NODE and turn on the mouse on/off PMOS when both rocker switch and battery comparator output HIGH,new,
,,,,,,,,,,,,
,,,,,,,,,,,,
Wheel Motor Related,Digikey,TB6561FG8ELCT-ND,IC MOTOR DRIVER 10V-36V 30SSOP,1,$3.51,1,$3.51,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/TB6561FG-8-EL/1730056,https://app.ultralibrarian.com/details/84a3ee1c-5a2c-11eb-9033-0a34d6323d74/Toshiba-Electronic-Devices-Storage-Corp-/TB6561FG-8-EL?uid=50464463,"- H bridge PWM interface brushed motor driver
- 10-36V supply, 3A output max, 30-BSOP",,
,Digikey,445-7456-1-ND,CAP CER 0.1UF 50V X5R 0603,1,$0.11,1,$0.11,https://www.digikey.com/en/products/detail/tdk-corporation/C1608X5R1H104K080AA/2732891,n/a,"- C2 0.1uF cap for 5V output from motor driver
- datasheet pg 8: HERE
- 0603 package",,
,Digikey,P121394CT-ND,CAP ALUM HYB 47UF 20% 25V SMD,1,$1.45,1,$1.45,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEH-ZK1E470R/6564642?s=N4IgTCBcDaIKJwBIFoBaBpAjHALAdgAYAlEAXQF8g,https://www.mouser.com/ProductDetail/Panasonic/EEH-ZK1E470R?qs=FNcb6ahWXRxnLCe3Ulph5A%3D%3D,"- C1 47uF polymer cap for motor driver supply
- datasheet pg 8",,
,Servocity,638103,Gear Motor with Encoder,1,$19.99,2,$39.98,https://www.servocity.com/4900-rpm-micro-gear-motor-w-encoder/,,"- Gear motors, 4900rpm w/ encoders
- 6 position 1.5 pitch ZH JST",,
,Amazon,ASIN: B0D8PS1X3D,"1000 Pcs Tiny Screws for Electronics, M1.6 M1.7 M2 M2.5 M3 Round Head Mini, Replacement Computer Screws, Small Machine Assortment Kit for Laptop Notebook Glasses Repair(1000) ",50,$8.98,1,$8.98,https://www.amazon.com/woshilaoDS-Electronics-Replacement-Computer-Assortment/dp/B0D8PS1X3D?crid=1WBF72808YRUM&dib=eyJ2IjoiMSJ9.HhgegxzfBI965xyEGmeh4IzjCedD1ThjPUa4IW_oZ2KtUeX1nGdrUH_WvSoO32hODPYJ2bGzGu9rxk2DIKgi6EcIQH2lx2cigupntV16uMJxxpJ4Jjce3m6r9f88f8BRrMfbvgqKmNlzSBlcS_I_V_aEVQ1aTIrvBqURxt_9drkwPFTeN3-Nr537-Yc6kqsXYKDEDfAGVMYpilSRnO8kjnuHKBzXofBQQAcDxElsFkQ.Kx3c69wYc3KqPgPJ7hNcohWNYnEjwfIjAbONxL6jLgU&dib_tag=se&keywords=m1.6%2Bscrews&qid=1778180568&sprefix=m1.6%2Bscrew%2Caps%2C284&sr=8-9&th=1,,"- M1.6 screws for mounting gear motor to 3D printed mounts
- Also for mounting 3D mounts to PCB",new,
